id;school;type;start;jhi_end
1;aboard euphonium veg;HIGH_SCHOOL;2025-03-08;2025-03-08
2;uselessly aside ah;HIGH_SCHOOL;2025-03-09;2025-03-08
3;atop scarcely opposite;MASTER;2025-03-08;2025-03-09
4;true gosh lest;BACHELOR;2025-03-09;2025-03-09
5;reflate as switchboard;MASTER;2025-03-08;2025-03-09
6;clamor;MASTER;2025-03-09;2025-03-08
7;gigantic questionably gosh;MASTER;2025-03-08;2025-03-09
8;feather;DOCTORATE;2025-03-09;2025-03-08
9;brr last thorn;MASTER;2025-03-09;2025-03-09
10;brr till;DOCTORATE;2025-03-09;2025-03-08
